Trading Name,Code,Last Price,ROE %,Market Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Tai Sin Electric,500,0.41,7.0913,188.707,440.030,8.007813,5.7299999999999995,Industrials,78
HS Optimus,504,0.001,-3.8732,5.381,15.106,,,Consumer Cyclical,67
AsiaMedic,505,0.012,7.3315,13.854,28.915,13.333333,,Healthcare,66
Fuji Offset,508,0.395,3.0376,19.715,3.628,20.466321,1.27,Industrials,70
DISA,532,0.001,-106.1844,10.689,8.082,,,Technology,34
ABR,533,0.4,3.7121,80.398,135.575,22.099448,3.75,Consumer Cyclical,63
Tung Lok Rest,540,0.085,12.882,23.324,85.918,,2.64,Consumer Cyclical,62
Abundance Intl,541,0.02,0.7538,25.634,729.658,77.851304,,Basic Materials,63
Noel Gifts Intl,543,0.199,35.9722,20.393,16.335,,13.07,Consumer Cyclical,72
CSE Global,544,0.42,11.16,296.764,861.173,10.741688,5.71,Technology,98
Medtecs Intl,546,0.134,-19.0523,73.018,54.423,,,Healthcare,66
King Wan,554,0.042,18.7548,29.331,98.803,2.485207,,Industrials,62
UMS,558,1.15,10.4377,817.116,241.393,20.034843,4.52,Technology,76
Spindex Ind,564,0.845,9.7644,96.330,184.421,6.028881,3.2300000000000004,Industrials,68
SHS,566,0.123,2.3224,75.073,82.977,24.600000,2.31,Industrials,80
Vicplas Intl,569,0.073,-1.779,37.309,105.640,,,Healthcare,62
Abundante,570,0.235,1.2799,24.508,7.326,39.166667,,Industrials,54
ASTI,575,0.014,-20.182,9.166,32.342,,,Technology,68
Oceanus,579,0.005,6.6794,128.814,290.078,125.000000,,Consumer Defensive,46
Santak,580,0.055,-24.5374,5.917,7.462,,,Technology,72
Sunrise Shares,581,0.015,-48.1844,4.426,3.202,,,Real Estate,58
Progen,583,0.027,-2.7685999999999997,10.544,5.698,,,Industrials,64
AJJ Medtech,584,0.002,,3.006,2.323,,,Healthcare,79
Asian Micro,585,0.002,-50.8059,5.144,5.940,,,Energy,59
CapAllianz,594,0.002,-1.5846,18.407,4.235,,,Energy,59
GKE,595,0.082,4.6082,63.179,118.190,9.425287,2.44,Industrials,66
Pavillon,596,0.03,6.390999999999999,43.049,17.630,13.043478,,Consumer Cyclical,53
Hyflux,600,0.21,,164.910,,,,Utilities,38
17LIVE GROUP,LVR,0.91,-3.7077999999999998,166.089,190.835,,,Technology,
8Telecom,AZG,0.069,,7.761,,,,Technology,57
9R,1Y1,0.056,-38.306400000000004,62.200,7.712,,,Technology,77
A-Smart,BQC,0.078,-3.8925,20.928,7.857,,,Industrials,54
A-Sonic Aero,BTJ,0.315,6.252199999999999,33.345,275.944,8.917513,1.59,Industrials,63
Accrelist Ltd,QZG,0.034,-16.1476,10.867,17.554,,,Healthcare,55
Acesian Partners,5FW,0.035,2.2372,16.543,7.836,31.818182,,Industrials,57
Acma,AYV,0.024,32.2645,0.975,9.418,,,Consumer Cyclical,62
AcroMeta,43F,0.02,38.6484,6.792,6.190,,,Industrials,65
Addvalue Tech,A31,0.01,4.6389,32.420,13.855,25.113324,,Technology,83
Advanced,BLZ,0.083,-9.2156,8.405,4.184,,,Energy,65
AdvancedSystems,WJ9,0.007,-1453.6643,11.446,17.365,,,Technology,
Advancer Global,43Q,0.104,4.1331,26.123,64.467,19.259259,,Industrials,73
Adventus,5EF,0.002,-33.2926,6.613,5.916,,,Industrials,70
Aedge Group,XVG,0.255,-5.1021,27.030,25.892,1275.000000,,Industrials,62
AEM SGD,AWX,1.23,2.4,385.211,380.410,34.035253,,Technology,71
AEM USD,XWA,1,2.4,299.892,380.410,35.543319,,Technology,
AF Global,L38,0.065,-1.4663000000000002,68.617,31.422,,53.849999999999994,Consumer Cyclical,56
Alita Resources,40F,0.078,,115.161,,,,Basic Materials,48
Alliance HC,MIJ,0.101,3.1603,20.845,72.241,,,Healthcare,75
AlphaDX,VVL,0.112,,27.211,9.043,0.136073,,Technology,
Alpina Holdings,ZXY,0.25,8.350399999999999,46.085,88.066,19.083969,0.76,Industrials,70
Alset,40V,0.022,-20.3992,76.840,22.428,,,Real Estate,76
Amara,A34,0.89,0.47359999999999997,517.471,122.963,281.250000,1.11,Consumer Cyclical,58
Amcorp Global,S9B,0.115,-21.260299999999997,51.451,56.334,,,Real Estate,72
AMOS Group,49B,0.068,-32.1409,14.167,63.466,,,Energy,53
Amplefield Ltd,AOF,0.019,0.947,17.064,9.428,26.027397,,Real Estate,85
AMTD IDEA OV,HKB,3.6,3.2467,1426.775,54.068,7.449909,,Financial Services,
AnAn Intl,Y35,0.004,-1.1037,16.933,2458.367,,,Energy,38
Anchun Intl,BTX,0.325,3.5904,15.227,177.372,7.807110,6.550000000000001,Basic Materials,72
AnnAik,A52,0.058,3.1322,16.734,47.644,8.169014,5.17,Basic Materials,69
Annica,5AL,0.001,-4.1175999999999995,19.260,13.730,33.333333,,Energy,57
Aoxin Q & M,1D4,0.045,-0.6621,23.018,183.722,,,Healthcare,93
AP Oil,5AU,0.124,3.5516,20.402,54.723,9.920000,4.03,Energy,61
AP Strategic,5RA,0.001,-5.0744,17.829,0.051,,,Consumer Cyclical,58
APAC Realty,CLN,0.435,4.5583,155.478,560.507,22.193878,4.83,Real Estate,59
Ascent Bridge,AWG,0.57,-14.3496,61.273,2.666,,,Basic Materials,52
Asia Enterprises,A55,0.13,0.3728,44.347,40.738,1.181818,3.85,Basic Materials,65
Asia Vets,5RE,0.05,-11.72,7.307,2.521,,,Healthcare,52
AsiaPhos,5WV,0.004,41.092099999999995,5.919,4.291,,,Basic Materials,19
Asiatic,5CR,0.004,7.333399999999999,12.934,43.186,8.000000,,Utilities,67
ASL Marine,A04,0.059,4.684200000000001,58.288,342.770,11.800000,,Industrials,78
Aspen,1F3,0.041,18.2485,44.412,206.219,16.001212,,Real Estate,60
Aspial Corp,A30,0.062,1.323,137.626,678.355,24.800000,,Real Estate,68
Aspial Lifestyle,5UF,0.121,16.8991,224.600,587.559,5.401786,6.45,Consumer Cyclical,64
Assurance HC,RCU,0.056,-14.9732,14.746,0.588,,,Technology,64
